Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_2.txt,TERMINATING,2,73.81,64.51,140.32,5,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_3.txt,TERMINATING,0.59,1834.89,119.95,1955.43,-,NOT_SUPPORTED,7,5,12,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_4.txt,TERMINATING,0.33,74.84,28.6,103.77,5,TERMINATING,8,2,10,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_5.txt,TERMINATING,0.36,127.11,87.81,215.28,10,TERMINATING,13,5,18,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_6.txt,TERMINATING,0.36,69.22,107.08,176.66,5,TERMINATING,15,4,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_7.txt,TERMINATING,0.32,1893.01,117.66,2010.99,-,NOT_SUPPORTED,16,5,21,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_8.txt,TERMINATING,0.38,119.26,138.94,258.58,5,TERMINATING,17,2,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_9.txt,TERMINATING,0.53,100.8,90.51,191.84,5,TERMINATING,19,4,23,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_10.txt,TERMINATING,0.3,55.48,25.9,81.68,5,TERMINATING,14,11,25,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_11.txt,TERMINATING,0.27,115.8,49.59,165.66,5,TERMINATING,21,11,32,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_12.txt,TERMINATING,0.24,115.57,156.7,272.51,5,TERMINATING,14,13,27,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_13.txt,TERMINATING,0.25,83.21,85.27,168.73,5,TERMINATING,18,13,31,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_14.txt,TERMINATING,0.28,100.76,38.94,139.98,5,TERMINATING,25,4,29,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_15.txt,TERMINATING,0.32,110.64,40.88,151.84,5,TERMINATING,25,15,40,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_2.txt,TERMINATING,1.82,65.54,63.15,130.51,5,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_3.txt,TERMINATING,0.51,1713.04,106.95,1820.5,-,NOT_SUPPORTED,7,5,12,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_4.txt,TERMINATING,0.28,51.01,25.91,77.2,5,TERMINATING,8,2,10,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_5.txt,TERMINATING,0.28,122.14,75.97,198.39,10,TERMINATING,13,5,18,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_6.txt,TERMINATING,0.31,67.63,95.77,163.71,5,TERMINATING,15,4,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_7.txt,TERMINATING,0.31,1689.19,112.41,1801.91,-,NOT_SUPPORTED,16,5,21,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_8.txt,TERMINATING,0.31,121.24,138.79,260.34,5,TERMINATING,17,2,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_9.txt,TERMINATING,0.3,90.93,88.35,179.58,5,TERMINATING,19,4,23,Affine Template / Affine Template
